,cluster,functional,basis,n_dmso,n_water,13c_ch2_avg,13c_ch2_max,13c_ch3_avg,13c_ch3_max,1h_ch2_avg,1h_ch2_max,1h_ch3_avg,1h_ch3_max
214,2,B3LYP,6-311++G**,2,10,68.86,68.982,55.197,55.319,4.223,5.941,4.12,5.838
215,2,B3LYP,6-311++G**,2,12,68.86,68.982,55.197,55.319,3.724,5.946,3.621,5.843
216,2,B3LYP,6-311++G**,3,1,68.658,68.891,54.995,55.228,7.185,7.185,7.082,7.082
217,2,B3LYP,6-311++G**,3,2,68.658,68.891,54.995,55.228,6.098,6.603,5.995,6.5
218,2,B3LYP,6-311++G**,3,3,68.658,68.891,54.995,55.228,5.3,5.321,5.197,5.218
219,2,B3LYP,6-311++G**,3,4,68.658,68.891,54.995,55.228,5.088,6.112,4.985,6.009
220,2,B3LYP,6-311++G**,3,6,68.658,68.891,54.995,55.228,4.54,6.06,4.437,5.957
221,2,B3LYP,6-311++G**,3,8,68.658,68.891,54.995,55.228,4.226,6.021,4.123,5.918
222,2,B3LYP,6-311++G**,3,10,68.658,68.891,54.995,55.228,4.223,5.941,4.12,5.838
223,2,B3LYP,6-311++G**,3,12,68.658,68.891,54.995,55.228,3.724,5.946,3.621,5.843
224,2,B3LYP,6-311++G**,4,1,68.982,70.476,55.319,56.813,7.185,7.185,7.082,7.082
225,2,B3LYP,6-311++G**,4,2,68.982,70.476,55.319,56.813,6.098,6.603,5.995,6.5
226,2,B3LYP,6-311++G**,4,3,68.982,70.476,55.319,56.813,5.3,5.321,5.197,5.218
227,2,B3LYP,6-311++G**,4,4,68.982,70.476,55.319,56.813,5.088,6.112,4.985,6.009
228,2,B3LYP,6-311++G**,4,6,68.982,70.476,55.319,56.813,4.54,6.06,4.437,5.957
229,2,B3LYP,6-311++G**,4,8,68.982,70.476,55.319,56.813,4.226,6.021,4.123,5.918
230,2,B3LYP,6-311++G**,4,10,68.982,70.476,55.319,56.813,4.223,5.941,4.12,5.838
231,2,B3LYP,6-311++G**,4,12,68.982,70.476,55.319,56.813,3.724,5.946,3.621,5.843
232,2,B3LYP,6-311++G**,6,1,69.096,71.279,55.433,57.616,7.185,7.185,7.082,7.082
233,2,B3LYP,6-311++G**,6,2,69.096,71.279,55.433,57.616,6.098,6.603,5.995,6.5
234,2,B3LYP,6-311++G**,6,3,69.096,71.279,55.433,57.616,5.3,5.321,5.197,5.218
235,2,B3LYP,6-311++G**,6,4,69.096,71.279,55.433,57.616,5.088,6.112,4.985,6.009
