ppm	intensity
108.9709	-29.1449
108.9552	89.759
108.9395	95.3342
108.9238	82.1061
108.9081	105.5668
108.8924	36.9207
108.8767	30.9415
108.861	-31.7087
108.8452	50.4684
108.8295	84.3993
108.8138	117.3171
108.7981	0.462
108.7824	45.0002
108.7667	93.9903
108.751	3.3641
108.7353	-1.4106
108.7196	-2.5304
108.7039	-122.4319
108.6882	-118.7504
108.6725	173.4366
108.6568	-40.6637
108.6411	98.6837
108.6254	164.1278
108.6096	-56.4555
108.5939	130.4775
108.5782	-35.1589
108.5625	94.0873
108.5468	66.9039
108.5311	32.2447
108.5154	-59.2579
108.4997	-61.8186
108.484	8.917
108.4683	-34.837
108.4526	15.5737
108.4369	53.0034
108.4212	153.299
108.4055	-44.1541
108.3898	87.3674
108.3741	40.304
108.3584	28.158
108.3426	-48.059
108.3269	213.2784
108.3112	62.8771
108.2955	-27.8121
108.2798	-39.0832
108.2641	40.9474
108.2484	-12.5526
108.2327	243.4292
108.217	108.321
108.2013	65.4059
108.1856	200.7321
108.1699	117.9095
108.1542	-44.1834
108.1385	142.7271
108.1228	44.9102
108.107	156.7951
108.0913	65.3125
108.0756	71.9119
108.0599	-89.1299
108.0442	127.0955
108.0285	24.8167
108.0128	-16.8361
107.9971	-152.7924
107.9814	22.4456
107.9657	139.1043
107.95	53.5442
