,configuration,functional,basis,n_dmso,n_water,13c_ch2_avg,13c_ch2_max,13c_ch3_avg,13c_ch3_max,1h_ch2_avg,1h_ch2_max,1h_ch3_avg,1h_ch3_max
187,5,B3LYP,6-31+G*,4,4,67.526,68.906,57.396,58.776,5.562,6.475,5.483,6.396
188,5,B3LYP,6-31+G*,4,6,67.526,68.906,57.396,58.776,4.63,5.301,4.551,5.222
189,5,B3LYP,6-31+G*,4,8,67.526,68.906,57.396,58.776,4.791,6.376,4.712,6.297
190,5,B3LYP,6-31+G*,4,10,67.526,68.906,57.396,58.776,4.753,6.293,4.674,6.214
191,5,B3LYP,6-31+G*,4,12,67.526,68.906,57.396,58.776,4.402,6.287,4.323,6.208
192,5,B3LYP,6-31+G*,6,1,67.823,69.537,57.693,59.407,7.321,7.321,7.242,7.242
193,5,B3LYP,6-31+G*,6,2,67.823,69.537,57.693,59.407,6.421,6.883,6.342,6.804
194,5,B3LYP,6-31+G*,6,3,67.823,69.537,57.693,59.407,5.655,5.667,5.576,5.588
195,5,B3LYP,6-31+G*,6,4,67.823,69.537,57.693,59.407,5.562,6.475,5.483,6.396
196,5,B3LYP,6-31+G*,6,6,67.823,69.537,57.693,59.407,4.63,5.301,4.551,5.222
197,5,B3LYP,6-31+G*,6,8,67.823,69.537,57.693,59.407,4.791,6.376,4.712,6.297
198,5,B3LYP,6-31+G*,6,10,67.823,69.537,57.693,59.407,4.753,6.293,4.674,6.214
199,5,B3LYP,6-31+G*,6,12,67.823,69.537,57.693,59.407,4.402,6.287,4.323,6.208
200,6,B3LYP,6-31+G*,1,1,67.037,67.037,56.503,56.503,7.254,7.254,7.042,7.042
201,6,B3LYP,6-31+G*,1,2,67.037,67.037,56.503,56.503,6.354,6.816,6.142,6.604
202,6,B3LYP,6-31+G*,1,3,67.037,67.037,56.503,56.503,5.588,5.6,5.376,5.388
203,6,B3LYP,6-31+G*,1,4,67.037,67.037,56.503,56.503,5.495,6.408,5.283,6.196
204,6,B3LYP,6-31+G*,1,6,67.037,67.037,56.503,56.503,4.563,5.234,4.351,5.022
205,6,B3LYP,6-31+G*,1,8,67.037,67.037,56.503,56.503,4.724,6.309,4.512,6.097
